Type,name,Score,Metric
Bottom,Tim Iroegbunam,0.0,SCA90
,,,
Top,,,SCA_PassLive
Top,Martin Ødegaard,178.0,SCA_PassLive
Top,Bruno Fernandes,143.0,SCA_PassLive
Top,Bukayo Saka,137.0,SCA_PassLive
,,,
Bottom,,,SCA_PassLive
Bottom,Mads Juel Andersen,0.0,SCA_PassLive
Bottom,Martin Dúbravka,0.0,SCA_PassLive
Bottom,John Egan,0.0,SCA_PassLive
,,,
Top,,,SCA_PassDead
Top,Pascal Groß,54.0,SCA_PassDead
Top,James Ward-Prowse,51.0,SCA_PassDead
Top,Bruno Fernandes,48.0,SCA_PassDead
,,,
Bottom,,,SCA_PassDead
Bottom,Tosin Adarabioyo,0.0,SCA_PassDead
Bottom,Elijah Adebayo,0.0,SCA_PassDead
Bottom,Naouirou Ahamada,0.0,SCA_PassDead
,,,
Top,,,SCA_TO
Top,Mohammed Kudus,25.0,SCA_TO
Top,Nicolas Jackson,18.0,SCA_TO
Top,Jeremy Doku,17.0,SCA_TO
,,,
Bottom,,,SCA_TO
Bottom,Max Aarons,0.0,SCA_TO
Bottom,Tyler Adams,0.0,SCA_TO
Bottom,Tosin Adarabioyo,0.0,SCA_TO
,,,
Top,,,SCA_Sh
Top,Mohamed Salah,21.0,SCA_Sh
Top,Ollie Watkins,18.0,SCA_Sh
Top,Luis Díaz,15.0,SCA_Sh
,,,
Bottom,,,SCA_Sh
Bottom,Max Aarons,0.0,SCA_Sh
Bottom,Tyler Adams,0.0,SCA_Sh
Bottom,Naouirou Ahamada,0.0,SCA_Sh
,,,
Top,,,SCA_Fld
Top,Anthony Gordon,13.0,SCA_Fld
Top,Jordan Ayew,12.0,SCA_Fld
Top,Alejandro Garnacho,12.0,SCA_Fld
,,,
Bottom,,,SCA_Fld
Bottom,Tyler Adams,0.0,SCA_Fld
Bottom,Tosin Adarabioyo,0.0,SCA_Fld
Bottom,Nayef Aguerd,0.0,SCA_Fld
,,,
Top,,,SCA_Def
Top,Conor Gallagher,6.0,SCA_Def
